month_of_service,daytype,daycount,route_or_line,ridership_total,ridership_average,ObjectId
2023/12/01 05:00:00+00,Saturday,5,Bus,740851,148170,790
2023/12/01 05:00:00+00,Saturday,5,All Bus,842791,168558,791
2023/12/01 05:00:00+00,Saturday,5,Commuter Rail,203004,40601,792
2023/12/01 05:00:00+00,Saturday,5,The RIDE,9565,1913,793
2023/12/01 05:00:00+00,Sunday,5,Blue Line,120449,24090,794
2023/12/01 05:00:00+00,Sunday,5,Orange Line,232821,46564,795
2023/12/01 05:00:00+00,Sunday,5,Red Line,245420,49084,796
2023/12/01 05:00:00+00,Sunday,5,Heavy Rail,590875,118175,797
2023/12/01 05:00:00+00,Sunday,5,Green Line,197906,39581,798
2023/12/01 05:00:00+00,Sunday,5,Mattapan Line,4773,955,799
2023/12/01 05:00:00+00,Sunday,5,Light Rail,182650,36530,800
2023/08/01 04:00:00+00,Sunday,4,All Bus,516895,129224,801
2023/08/01 04:00:00+00,Sunday,4,Commuter Rail,116914,29228,802
2023/08/01 04:00:00+00,Sunday,4,The RIDE,6632,1658,803
2023/08/01 04:00:00+00,Total,31,Blue Line,1515024,48872,804
2023/08/01 04:00:00+00,Total,31,Orange Line,2823763,91089,805
2023/08/01 04:00:00+00,Total,31,Red Line,3287688,106054,806
2023/08/01 04:00:00+00,Total,31,Heavy Rail,7626475,246015,807
2023/08/01 04:00:00+00,Total,31,Green Line,2642792,85251,808
2023/08/01 04:00:00+00,Total,31,Mattapan Line,75242,2427,809
2023/08/01 04:00:00+00,Total,31,Light Rail,2718034,87679,810
2023/08/01 04:00:00+00,Total,31,Silver Line,876736,28282,811
2023/08/01 04:00:00+00,Total,31,Bus,6666127,215036,812
2023/08/01 04:00:00+00,Total,31,All Bus,7542862,243318,813
2023/08/01 04:00:00+00,Total,31,Commuter Rail,2396679,77312,814
2023/08/01 04:00:00+00,Total,31,Ferry,196039,6324,815
2023/08/01 04:00:00+00,Total,31,The RIDE,97016,3130,816
2023/07/01 04:00:00+00,Weekday,20,Blue Line,1012119,50606,817
2023/07/01 04:00:00+00,Weekday,20,Orange Line,1990562,99528,818
2023/07/01 04:00:00+00,Weekday,20,Red Line,2485675,124284,819
2023/07/01 04:00:00+00,Weekday,20,Heavy Rail,5488356,274418,820
2023/07/01 04:00:00+00,Weekday,20,Green Line,1889599,94480,821
2023/07/01 04:00:00+00,Weekday,20,Mattapan Line,57250,2862,822
2023/07/01 04:00:00+00,Weekday,20,Light Rail,1946849,97342,823
2023/07/01 04:00:00+00,Weekday,20,Silver Line,616253,30813,824
2023/07/01 04:00:00+00,Weekday,20,Bus,4946173,247309,825
2023/07/01 04:00:00+00,Weekday,20,Private Bus,48126,2406,826
2023/07/01 04:00:00+00,Weekday,20,All Bus,5610551,280528,827
2023/07/01 04:00:00+00,Weekday,20,Commuter Rail,1861427,93071,828
2023/07/01 04:00:00+00,Weekday,20,Ferry,136677,6834,829
2023/07/01 04:00:00+00,Weekday,20,The RIDE,71967,3598,830
2023/07/01 04:00:00+00,Saturday,5,Blue Line,207932,41586,831
2023/07/01 04:00:00+00,Saturday,5,Orange Line,351709,70342,832
2023/07/01 04:00:00+00,Saturday,5,Red Line,389432,77886,833
2023/07/01 04:00:00+00,Saturday,5,Heavy Rail,949074,189815,834
2023/07/01 04:00:00+00,Saturday,5,Green Line,349003,69801,835
2023/07/01 04:00:00+00,Saturday,5,Mattapan Line,7917,1583,836
2023/07/01 04:00:00+00,Saturday,5,Light Rail,356919,71384,837
2023/07/01 04:00:00+00,Saturday,5,Silver Line,103396,20679,838
2023/07/01 04:00:00+00,Saturday,5,Bus,757055,151411,839
2023/07/01 04:00:00+00,Saturday,5,Private Bus,7325,1465,840
2023/07/01 04:00:00+00,Saturday,5,All Bus,867776,173555,841
2023/07/01 04:00:00+00,Saturday,5,Commuter Rail,167928,33586,842
2023/07/01 04:00:00+00,Saturday,5,Ferry,23843,4769,843
2023/07/01 04:00:00+00,Saturday,5,The RIDE,9080,1816,844
2023/07/01 04:00:00+00,Sunday,5,Blue Line,167826,33565,845
2023/07/01 04:00:00+00,Sunday,5,Orange Line,270352,54070,846
2023/07/01 04:00:00+00,Sunday,5,Red Line,313865,62773,847
2023/07/01 04:00:00+00,Sunday,5,Heavy Rail,752043,150409,848
2023/07/01 04:00:00+00,Sunday,5,Green Line,279168,55834,849
2023/07/01 04:00:00+00,Sunday,5,Mattapan Line,5463,1093,850
2023/09/01 04:00:00+00,Sunday,4,All Bus,642276,160569,851
2023/09/01 04:00:00+00,Sunday,4,Commuter Rail,111434,27858,852
2023/09/01 04:00:00+00,Sunday,4,The RIDE,6408,1602,853
2023/09/01 04:00:00+00,Total,30,Blue Line,1352023,45067,854
2023/09/01 04:00:00+00,Total,30,Orange Line,2773532,92451,855
2023/09/01 04:00:00+00,Total,30,Red Line,3293113,109770,856
2023/09/01 04:00:00+00,Total,30,Heavy Rail,7418667,247289,857
2023/09/01 04:00:00+00,Total,30,Green Line,2596340,86545,858
2023/09/01 04:00:00+00,Total,30,Mattapan Line,74689,2490,859
2023/09/01 04:00:00+00,Total,30,Light Rail,2671029,89034,860
2023/09/01 04:00:00+00,Total,30,Silver Line,835741,27858,861
2023/09/01 04:00:00+00,Total,30,Bus,6904339,230145,862
2023/05/01 04:00:00+00,Saturday,4,Bus,613004,153251,863
2023/09/01 04:00:00+00,Total,30,All Bus,7740080,258003,864
2023/09/01 04:00:00+00,Total,30,Commuter Rail,2117835,70594,865
2023/09/01 04:00:00+00,Total,30,Ferry,120663,4022,866
2023/09/01 04:00:00+00,Total,30,The RIDE,91812,3060,867
2023/08/01 04:00:00+00,Weekday,23,Blue Line,1192710,51857,868
2023/08/01 04:00:00+00,Weekday,23,Orange Line,2304171,100181,869
2023/08/01 04:00:00+00,Weekday,23,Red Line,2728212,118618,870
2023/08/01 04:00:00+00,Weekday,23,Heavy Rail,6225093,270656,871
2023/08/01 04:00:00+00,Weekday,23,Green Line,2064223,89749,872
2023/08/01 04:00:00+00,Weekday,23,Mattapan Line,63719,2770,873
2023/08/01 04:00:00+00,Weekday,23,Light Rail,2127942,92519,874
2023/08/01 04:00:00+00,Weekday,23,Silver Line,710210,30879,875
2023/08/01 04:00:00+00,Weekday,23,Bus,5611401,243974,876
2023/08/01 04:00:00+00,Weekday,23,All Bus,6321611,274853,877
2023/08/01 04:00:00+00,Weekday,23,Commuter Rail,2133281,92751,878
2023/08/01 04:00:00+00,Weekday,23,Ferry,152556,6633,879
2023/08/01 04:00:00+00,Weekday,23,The RIDE,82731,3597,880
2023/08/01 04:00:00+00,Saturday,4,Blue Line,178291,44573,881
2023/08/01 04:00:00+00,Saturday,4,Orange Line,293363,73341,882
2023/08/01 04:00:00+00,Saturday,4,Red Line,310142,77536,883
2023/08/01 04:00:00+00,Saturday,4,Heavy Rail,781796,195449,884
2023/08/01 04:00:00+00,Saturday,4,Green Line,324625,81156,885
2023/08/01 04:00:00+00,Saturday,4,Mattapan Line,6722,1680,886
2023/08/01 04:00:00+00,Saturday,4,Light Rail,331347,82837,887
2023/08/01 04:00:00+00,Saturday,4,Silver Line,89957,22489,888
2023/08/01 04:00:00+00,Saturday,4,Bus,614399,153600,889
2023/08/01 04:00:00+00,Saturday,4,All Bus,704356,176089,890
2023/08/01 04:00:00+00,Saturday,4,Commuter Rail,146484,36621,891
2023/08/01 04:00:00+00,Saturday,4,The RIDE,7652,1913,892
2023/08/01 04:00:00+00,Sunday,4,Blue Line,144023,36006,893
2023/08/01 04:00:00+00,Sunday,4,Orange Line,226229,56557,894
2023/08/01 04:00:00+00,Sunday,4,Red Line,249334,62334,895
2023/08/01 04:00:00+00,Sunday,4,Heavy Rail,619586,154896,896
2023/08/01 04:00:00+00,Sunday,4,Green Line,253945,63486,897
2023/08/01 04:00:00+00,Sunday,4,Mattapan Line,4800,1200,898
2023/08/01 04:00:00+00,Sunday,4,Light Rail,258745,64686,899
2023/08/01 04:00:00+00,Sunday,4,Silver Line,76568,19142,900
2023/08/01 04:00:00+00,Sunday,4,Bus,440327,110082,901
2023/06/01 04:00:00+00,Sunday,4,Blue Line,128733,32183,902
2023/05/01 04:00:00+00,Saturday,4,Private Bus,5524,1381,903
2023/06/01 04:00:00+00,Sunday,4,Orange Line,202491,50623,904
2023/05/01 04:00:00+00,Saturday,4,All Bus,696406,174102,905
2023/06/01 04:00:00+00,Sunday,4,Red Line,262031,65508,906
2023/05/01 04:00:00+00,Saturday,4,Commuter Rail,125898,31474,907
2023/06/01 04:00:00+00,Sunday,4,Heavy Rail,593255,148314,908
2023/05/01 04:00:00+00,Saturday,4,The RIDE,7360,1840,909
2023/06/01 04:00:00+00,Sunday,4,Green Line,275063,68766,910
2023/05/01 04:00:00+00,Sunday,4,Blue Line,131975,32994,911
2023/06/01 04:00:00+00,Sunday,4,Mattapan Line,4360,1090,912
2023/05/01 04:00:00+00,Sunday,4,Orange Line,210295,52574,913
2023/06/01 04:00:00+00,Sunday,4,Light Rail,279423,69856,914
2023/05/01 04:00:00+00,Sunday,4,Red Line,231255,57814,915
2023/06/01 04:00:00+00,Sunday,4,Silver Line,70816,17704,916
2023/05/01 04:00:00+00,Sunday,4,Heavy Rail,573525,143381,917
2023/06/01 04:00:00+00,Sunday,4,Bus,414495,103624,918
2023/05/01 04:00:00+00,Sunday,4,Green Line,301235,75309,919
2023/06/01 04:00:00+00,Sunday,4,Private Bus,4028,1007,920
2023/05/01 04:00:00+00,Sunday,4,Mattapan Line,2102,526,921
2023/06/01 04:00:00+00,Sunday,4,All Bus,489339,122335,922
2023/05/01 04:00:00+00,Sunday,4,Light Rail,303337,75834,923
2023/06/01 04:00:00+00,Sunday,4,Commuter Rail,106899,26725,924
2023/05/01 04:00:00+00,Sunday,4,Silver Line,88393,22098,925
2023/06/01 04:00:00+00,Sunday,4,Ferry,9901,2475,926
2023/05/01 04:00:00+00,Sunday,4,Bus,537550,134388,927
2023/06/01 04:00:00+00,Sunday,4,The RIDE,6468,1617,928
2023/05/01 04:00:00+00,Sunday,4,Private Bus,3663,916,929
2023/06/01 04:00:00+00,Total,30,Blue Line,1361338,45378,930
2023/05/01 04:00:00+00,Sunday,4,All Bus,629606,157402,931
2023/06/01 04:00:00+00,Total,30,Orange Line,2632186,87740,932
2023/05/01 04:00:00+00,Sunday,4,Commuter Rail,104686,26172,933
2023/06/01 04:00:00+00,Total,30,Red Line,3357977,111933,934
2023/06/01 04:00:00+00,Total,30,Heavy Rail,7351501,245050,935
2023/05/01 04:00:00+00,Sunday,4,The RIDE,6600,1650,936
2023/06/01 04:00:00+00,Total,30,Green Line,3076007,102534,937
2023/05/01 04:00:00+00,Total,31,Blue Line,1378765,44476,938
2023/06/01 04:00:00+00,Total,30,Mattapan Line,76742,2558,939
2023/05/01 04:00:00+00,Total,31,Orange Line,2752676,88796,940
2023/06/01 04:00:00+00,Total,30,Light Rail,3152748,105092,941
2023/05/01 04:00:00+00,Total,31,Red Line,3391252,109395,942
2023/06/01 04:00:00+00,Total,30,Silver Line,816953,27232,943
2023/05/01 04:00:00+00,Total,31,Heavy Rail,7522694,242668,944
2023/06/01 04:00:00+00,Total,30,Bus,6506803,216893,945
2023/05/01 04:00:00+00,Total,31,Green Line,3364296,108526,946
2023/06/01 04:00:00+00,Total,30,Private Bus,63021,2101,947
2023/05/01 04:00:00+00,Total,31,Mattapan Line,77375,2496,948
2023/06/01 04:00:00+00,Total,30,All Bus,7386776,246226,949
2023/05/01 04:00:00+00,Total,31,Light Rail,3441672,111022,950
2023/06/01 04:00:00+00,Total,30,Commuter Rail,2288229,76274,951
2023/05/01 04:00:00+00,Total,31,Silver Line,819313,26429,952
2023/06/01 04:00:00+00,Total,30,Ferry,129884,4329,953
2023/05/01 04:00:00+00,Total,31,Bus,7017792,226380,954
2023/06/01 04:00:00+00,Total,30,The RIDE,91741,3058,955
2023/05/01 04:00:00+00,Total,31,Private Bus,64494,2080,956
2023/05/01 04:00:00+00,Weekday,22,Blue Line,1062255,48284,957
2023/05/01 04:00:00+00,Total,31,All Bus,7901599,254890,958
2023/05/01 04:00:00+00,Weekday,22,Orange Line,2235069,101594,959
2023/05/01 04:00:00+00,Total,31,Commuter Rail,2318035,74775,960
2023/05/01 04:00:00+00,Total,31,Ferry,111263,3589,961
2023/05/01 04:00:00+00,Total,31,The RIDE,95704,3087,962
2023/04/01 04:00:00+00,Weekday,20,Blue Line,915968,45798,963
2023/04/01 04:00:00+00,Weekday,20,Orange Line,2041560,102078,964
2023/04/01 04:00:00+00,Weekday,20,Red Line,2559602,127980,965
2023/04/01 04:00:00+00,Weekday,20,Heavy Rail,5517129,275856,966
2023/04/01 04:00:00+00,Weekday,20,Green Line,2514478,125724,967
2023/04/01 04:00:00+00,Weekday,20,Mattapan Line,62916,3146,968
2023/04/01 04:00:00+00,Weekday,20,Light Rail,2577394,128870,969
2023/04/01 04:00:00+00,Weekday,20,Silver Line,523782,26189,970
2023/04/01 04:00:00+00,Weekday,20,Bus,4952698,247635,971
2023/04/01 04:00:00+00,Weekday,20,Private Bus,45967,2298,972
2023/04/01 04:00:00+00,Weekday,20,All Bus,5522446,276122,973
2023/04/01 04:00:00+00,Weekday,20,Commuter Rail,1701832,85092,974
2023/04/01 04:00:00+00,Weekday,20,Ferry,75162,3758,975
2023/04/01 04:00:00+00,Weekday,20,The RIDE,70720,3536,976
2023/04/01 04:00:00+00,Saturday,5,Blue Line,177511,35502,977
2023/04/01 04:00:00+00,Saturday,5,Orange Line,282035,56407,978
2023/04/01 04:00:00+00,Saturday,5,Red Line,340116,68023,979
2023/04/01 04:00:00+00,Saturday,5,Heavy Rail,799662,159932,980
2023/05/01 04:00:00+00,Weekday,22,Red Line,2835398,128882,981
2023/05/01 04:00:00+00,Weekday,22,Heavy Rail,6132722,278760,982
2023/05/01 04:00:00+00,Weekday,22,Green Line,2632445,119657,983
2023/05/01 04:00:00+00,Weekday,22,Mattapan Line,71062,3230,984
2023/05/01 04:00:00+00,Weekday,22,Light Rail,2703507,122887,985
2023/05/01 04:00:00+00,Weekday,22,Silver Line,653041,29684,986
2023/05/01 04:00:00+00,Weekday,22,Bus,5867238,266693,987
2023/05/01 04:00:00+00,Weekday,22,Private Bus,55307,2514,988
2023/05/01 04:00:00+00,Weekday,22,All Bus,6575587,298890,989
2023/05/01 04:00:00+00,Weekday,22,Commuter Rail,2056788,93490,990
2023/05/01 04:00:00+00,Weekday,22,Ferry,94646,4302,991
2023/05/01 04:00:00+00,Weekday,22,The RIDE,81719,3714,992
2023/05/01 04:00:00+00,Saturday,4,Blue Line,151180,37795,993
2023/05/01 04:00:00+00,Saturday,4,Orange Line,248105,62026,994
2023/05/01 04:00:00+00,Saturday,4,Red Line,264295,66074,995
2023/05/01 04:00:00+00,Saturday,4,Heavy Rail,663580,165895,996
2023/05/01 04:00:00+00,Saturday,4,Green Line,355856,88964,997
2023/05/01 04:00:00+00,Saturday,4,Mattapan Line,3047,762,998
2023/05/01 04:00:00+00,Saturday,4,Light Rail,358903,89726,999
2023/05/01 04:00:00+00,Saturday,4,Silver Line,77879,19470,1000
2023/07/01 04:00:00+00,Sunday,5,Light Rail,284630,56926,1001
2023/07/01 04:00:00+00,Sunday,5,Silver Line,106325,21265,1002
2023/07/01 04:00:00+00,Sunday,5,Bus,597425,119485,1003
2023/07/01 04:00:00+00,Sunday,5,Private Bus,5403,1081,1004
2023/07/01 04:00:00+00,Sunday,5,All Bus,709154,141831,1005
2023/07/01 04:00:00+00,Sunday,5,Commuter Rail,126503,25301,1006
2023/07/01 04:00:00+00,Sunday,5,Ferry,16675,3335,1007
2023/07/01 04:00:00+00,Sunday,5,The RIDE,7590,1518,1008
2023/07/01 04:00:00+00,Total,31,Blue Line,1418568,45760,1009
2023/07/01 04:00:00+00,Total,31,Orange Line,2656511,85694,1010
2023/07/01 04:00:00+00,Total,31,Red Line,3241811,104575,1011
2023/07/01 04:00:00+00,Total,31,Heavy Rail,7316891,236029,1012
2023/07/01 04:00:00+00,Total,31,Green Line,2578698,83184,1013
2023/07/01 04:00:00+00,Total,31,Mattapan Line,71642,2311,1014
2023/07/01 04:00:00+00,Total,31,Light Rail,2650340,85495,1015
2023/07/01 04:00:00+00,Total,31,Silver Line,825974,26644,1016
2023/07/01 04:00:00+00,Total,31,Bus,6300653,203247,1017
2023/07/01 04:00:00+00,Total,31,Private Bus,60854,1963,1018
2023/07/01 04:00:00+00,Total,31,All Bus,7187481,231854,1019
2023/07/01 04:00:00+00,Total,31,Commuter Rail,2187378,70561,1020
2023/07/01 04:00:00+00,Total,31,Ferry,177195,5716,1021
2023/07/01 04:00:00+00,Total,31,The RIDE,88664,2860,1022
2023/06/01 04:00:00+00,Weekday,22,Blue Line,1083549,49252,1023
2023/06/01 04:00:00+00,Weekday,22,Orange Line,2167324,98515,1024
2023/06/01 04:00:00+00,Weekday,22,Red Line,2771939,125997,1025
2023/06/01 04:00:00+00,Weekday,22,Heavy Rail,6022811,273764,1026
2023/06/01 04:00:00+00,Weekday,22,Green Line,2458728,111760,1027
2023/06/01 04:00:00+00,Weekday,22,Mattapan Line,66227,3010,1028
2023/06/01 04:00:00+00,Weekday,22,Light Rail,2524955,114771,1029
2023/06/01 04:00:00+00,Weekday,22,Silver Line,665353,30243,1030
2023/06/01 04:00:00+00,Weekday,22,Bus,5530092,251368,1031
2023/06/01 04:00:00+00,Weekday,22,Private Bus,53502,2432,1032
2023/06/01 04:00:00+00,Weekday,22,All Bus,6248947,284043,1033
2023/06/01 04:00:00+00,Weekday,22,Commuter Rail,2044565,92935,1034
2023/06/01 04:00:00+00,Weekday,22,Ferry,111753,5080,1035
2023/06/01 04:00:00+00,Weekday,22,The RIDE,78100,3550,1036
2023/06/01 04:00:00+00,Saturday,4,Blue Line,149056,37264,1037
2023/06/01 04:00:00+00,Saturday,4,Orange Line,262372,65593,1038
2023/06/01 04:00:00+00,Saturday,4,Red Line,324007,81002,1039
2023/06/01 04:00:00+00,Saturday,4,Heavy Rail,735435,183859,1040
2023/06/01 04:00:00+00,Saturday,4,Green Line,342216,85554,1041
2023/06/01 04:00:00+00,Saturday,4,Mattapan Line,6154,1538,1042
2023/06/01 04:00:00+00,Saturday,4,Light Rail,348370,87092,1043
2023/06/01 04:00:00+00,Saturday,4,Silver Line,80784,20196,1044
2023/06/01 04:00:00+00,Saturday,4,Bus,562216,140554,1045
2023/06/01 04:00:00+00,Saturday,4,Private Bus,5491,1373,1046
2023/06/01 04:00:00+00,Saturday,4,All Bus,648491,162123,1047
2023/06/01 04:00:00+00,Saturday,4,Commuter Rail,136765,34191,1048
2023/06/01 04:00:00+00,Saturday,4,Ferry,8230,2058,1049
2023/06/01 04:00:00+00,Saturday,4,The RIDE,7152,1788,1050
2023/03/01 05:00:00+00,Saturday,4,Blue Line,128384,32096,1051
2023/03/01 05:00:00+00,Saturday,4,Orange Line,220166,55042,1052
2023/03/01 05:00:00+00,Saturday,4,Red Line,217187,54297,1053
2023/03/01 05:00:00+00,Saturday,4,Heavy Rail,565736,141434,1054
2023/03/01 05:00:00+00,Saturday,4,Green Line,340386,85096,1055
2023/03/01 05:00:00+00,Saturday,4,Mattapan Line,5480,1370,1056
2023/03/01 05:00:00+00,Saturday,4,Light Rail,345866,86466,1057
2023/03/01 05:00:00+00,Saturday,4,Silver Line,66898,16724,1058
2023/03/01 05:00:00+00,Saturday,4,Bus,539092,134773,1059
2023/03/01 05:00:00+00,Saturday,4,Private Bus,4438,1110,1060
2023/03/01 05:00:00+00,Saturday,4,All Bus,610428,152607,1061
2023/03/01 05:00:00+00,Saturday,4,Commuter Rail,104309,26077,1062
2023/03/01 05:00:00+00,Saturday,4,The RIDE,6712,1678,1063
2023/03/01 05:00:00+00,Sunday,4,Blue Line,110086,27522,1064
2023/03/01 05:00:00+00,Sunday,4,Orange Line,178295,44574,1065
2023/03/01 05:00:00+00,Sunday,4,Red Line,187814,46954,1066
2023/03/01 05:00:00+00,Sunday,4,Heavy Rail,476196,119049,1067
2023/03/01 05:00:00+00,Sunday,4,Green Line,282692,70673,1068
2023/03/01 05:00:00+00,Sunday,4,Mattapan Line,4199,1050,1069
2023/03/01 05:00:00+00,Sunday,4,Light Rail,286891,71723,1070
2023/03/01 05:00:00+00,Sunday,4,Silver Line,58672,14668,1071
2023/03/01 05:00:00+00,Sunday,4,Bus,393935,98484,1072
2023/03/01 05:00:00+00,Sunday,4,Private Bus,3169,792,1073
2023/03/01 05:00:00+00,Sunday,4,All Bus,455777,113944,1074
2023/03/01 05:00:00+00,Sunday,4,Commuter Rail,112475,28119,1075
2023/03/01 05:00:00+00,Sunday,4,The RIDE,6068,1517,1076
2023/03/01 05:00:00+00,Total,31,Blue Line,1269989,40967,1077
2023/03/01 05:00:00+00,Total,31,Orange Line,2730502,88081,1078
2023/03/01 05:00:00+00,Total,31,Red Line,3241600,104568,1079
2023/03/01 05:00:00+00,Total,31,Heavy Rail,7242090,233616,1080
2023/03/01 05:00:00+00,Total,31,Green Line,3287289,106042,1081
2023/03/01 05:00:00+00,Total,31,Mattapan Line,87234,2814,1082
2023/03/01 05:00:00+00,Total,31,Light Rail,3374523,108856,1083
2023/03/01 05:00:00+00,Total,31,Silver Line,741245,23911,1084
2023/03/01 05:00:00+00,Total,31,Bus,6812317,219752,1085
2023/03/01 05:00:00+00,Total,31,Private Bus,56936,1837,1086
2023/03/01 05:00:00+00,Total,31,All Bus,7610499,245500,1087
2023/03/01 05:00:00+00,Total,31,Commuter Rail,2106535,67953,1088
2023/03/01 05:00:00+00,Total,31,Ferry,65883,2125,1089
2023/03/01 05:00:00+00,Total,31,The RIDE,94862,3060,1090
2023/02/01 05:00:00+00,Weekday,19,Blue Line,820081,43162,1091
2023/02/01 05:00:00+00,Weekday,19,Orange Line,1880203,98958,1092
2023/02/01 05:00:00+00,Weekday,19,Red Line,2337093,123005,1093
2023/02/01 05:00:00+00,Weekday,19,Heavy Rail,5037377,265125,1094
2023/02/01 05:00:00+00,Weekday,19,Green Line,2234148,117587,1095
2023/02/01 05:00:00+00,Weekday,19,Mattapan Line,63492,3342,1096
2023/02/01 05:00:00+00,Weekday,19,Light Rail,2297641,120928,1097
2023/02/01 05:00:00+00,Weekday,19,Silver Line,465735,24512,1098
2023/02/01 05:00:00+00,Weekday,19,Bus,4589920,241575,1099
2023/02/01 05:00:00+00,Weekday,19,Private Bus,38755,2040,1100
2023/02/01 05:00:00+00,Weekday,19,All Bus,5094410,268127,1101
2023/02/01 05:00:00+00,Weekday,19,Commuter Rail,1531884,80625,1102
2023/02/01 05:00:00+00,Weekday,19,Ferry,48789,2568,1103
2023/02/01 05:00:00+00,Weekday,19,The RIDE,66080,3478,1104
2023/02/01 05:00:00+00,Saturday,4,Blue Line,111598,27900,1105
2023/02/01 05:00:00+00,Saturday,4,Orange Line,178252,44563,1106
2023/02/01 05:00:00+00,Saturday,4,Red Line,244335,61084,1107
2023/02/01 05:00:00+00,Saturday,4,Heavy Rail,534184,133546,1108
2023/02/01 05:00:00+00,Saturday,4,Green Line,324372,81093,1109
2023/02/01 05:00:00+00,Saturday,4,Mattapan Line,6027,1507,1110
2023/02/01 05:00:00+00,Saturday,4,Light Rail,330399,82600,1111
2023/02/01 05:00:00+00,Saturday,4,Silver Line,77304,19326,1112
2023/02/01 05:00:00+00,Saturday,4,Bus,629420,157355,1113
2023/02/01 05:00:00+00,Saturday,4,Private Bus,5507,1377,1114
2023/02/01 05:00:00+00,Saturday,4,All Bus,712232,178058,1115
2023/02/01 05:00:00+00,Saturday,4,Commuter Rail,83538,20884,1116
2023/02/01 05:00:00+00,Saturday,4,The RIDE,6220,1555,1117
2023/02/01 05:00:00+00,Sunday,4,Blue Line,98406,24602,1118
2023/02/01 05:00:00+00,Sunday,4,Orange Line,159974,39994,1119
2023/02/01 05:00:00+00,Sunday,4,Red Line,217472,54368,1120
2023/02/01 05:00:00+00,Sunday,4,Heavy Rail,475852,118963,1121
2023/02/01 05:00:00+00,Sunday,4,Green Line,281988,70497,1122
2023/02/01 05:00:00+00,Sunday,4,Mattapan Line,4472,1118,1123
2023/02/01 05:00:00+00,Sunday,4,Light Rail,286460,71615,1124
2023/02/01 05:00:00+00,Sunday,4,Silver Line,53508,13377,1125
2023/02/01 05:00:00+00,Sunday,4,Bus,372739,93185,1126
2023/02/01 05:00:00+00,Sunday,4,Private Bus,2973,743,1127
2023/02/01 05:00:00+00,Sunday,4,All Bus,429220,107305,1128
2023/02/01 05:00:00+00,Sunday,4,Commuter Rail,62386,15596,1129
2023/02/01 05:00:00+00,Sunday,4,The RIDE,5880,1470,1130
2023/02/01 05:00:00+00,Total,28,Blue Line,1063319,37976,1131
2023/02/01 05:00:00+00,Total,28,Orange Line,2279401,81407,1132
2023/02/01 05:00:00+00,Total,28,Red Line,2871170,102542,1133
2023/02/01 05:00:00+00,Total,28,Heavy Rail,6213890,221925,1134
2023/02/01 05:00:00+00,Total,28,Green Line,2921889,104353,1135
2023/02/01 05:00:00+00,Total,28,Mattapan Line,75883,2710,1136
2023/02/01 05:00:00+00,Total,28,Light Rail,2997773,107063,1137
2023/02/01 05:00:00+00,Total,28,Silver Line,596547,21305,1138
2023/02/01 05:00:00+00,Total,28,Bus,5592079,199717,1139
2023/02/01 05:00:00+00,Total,28,Private Bus,47236,1687,1140
2023/02/01 05:00:00+00,Total,28,All Bus,6235862,222709,1141
2023/02/01 05:00:00+00,Total,28,Commuter Rail,1704568,60877,1142
2023/02/01 05:00:00+00,Total,28,Ferry,50578,1806,1143
2023/02/01 05:00:00+00,Total,28,The RIDE,78197,2793,1144
2023/01/01 05:00:00+00,Weekday,20,Blue Line,826278,41314,1145
2023/01/01 05:00:00+00,Weekday,20,Orange Line,1971166,98558,1146
2023/01/01 05:00:00+00,Weekday,20,Red Line,2472396,123620,1147
2023/01/01 05:00:00+00,Weekday,20,Heavy Rail,5269840,263492,1148
2023/01/01 05:00:00+00,Weekday,20,Green Line,2206401,110320,1149
2023/01/01 05:00:00+00,Weekday,20,Mattapan Line,66583,3329,1150
2023/04/01 04:00:00+00,Saturday,5,Green Line,500602,100120,1151
2023/04/01 04:00:00+00,Saturday,5,Mattapan Line,7596,1519,1152
2023/04/01 04:00:00+00,Saturday,5,Light Rail,508198,101640,1153
2023/04/01 04:00:00+00,Saturday,5,Silver Line,89822,17964,1154
2023/04/01 04:00:00+00,Saturday,5,Bus,757342,151468,1155
2023/04/01 04:00:00+00,Saturday,5,Private Bus,6755,1351,1156
2023/04/01 04:00:00+00,Saturday,5,All Bus,853918,170784,1157
2023/04/01 04:00:00+00,Saturday,5,Commuter Rail,156654,31331,1158
2023/04/01 04:00:00+00,Saturday,5,The RIDE,8800,1760,1159
2023/04/01 04:00:00+00,Sunday,5,Blue Line,132602,26520,1160
2023/04/01 04:00:00+00,Sunday,5,Orange Line,206707,41341,1161
2023/04/01 04:00:00+00,Sunday,5,Red Line,241661,48332,1162
2023/04/01 04:00:00+00,Sunday,5,Heavy Rail,580970,116194,1163
2023/04/01 04:00:00+00,Sunday,5,Green Line,363967,72793,1164
2023/04/01 04:00:00+00,Sunday,5,Mattapan Line,4805,961,1165
2023/04/01 04:00:00+00,Sunday,5,Light Rail,368772,73754,1166
2023/04/01 04:00:00+00,Sunday,5,Silver Line,76668,15334,1167
2023/04/01 04:00:00+00,Sunday,5,Bus,477777,95555,1168
2023/04/01 04:00:00+00,Sunday,5,Private Bus,3841,768,1169
2023/04/01 04:00:00+00,Sunday,5,All Bus,558285,111657,1170
2023/04/01 04:00:00+00,Sunday,5,Commuter Rail,116528,23306,1171
2023/04/01 04:00:00+00,Sunday,5,The RIDE,7615,1523,1172
2023/04/01 04:00:00+00,Total,30,Blue Line,1226081,40869,1173
